iter	Passed	Remaining
0	12	256140
1	19	193716
2	26	173967
3	32	163633
4	39	156625
5	45	152262
6	52	148810
7	58	146084
8	65	145143
9	75	150210
10	84	154152
11	92	153625
12	98	151351
13	104	149329
14	110	147530
15	116	145837
16	122	144303
17	128	143003
18	134	141620
19	140	140529
20	146	139476
21	152	138650
22	159	138161
23	164	137265
24	170	136480
25	176	135831
26	182	135250
27	188	134536
28	194	134082
29	200	133549
30	206	133131
31	212	132685
32	218	132475
33	224	132074
34	230	131657
35	236	131266
36	242	130910
37	248	130496
38	254	130178
39	260	129968
40	266	129704
41	273	129892
42	280	129996
43	286	129728
44	291	129458
45	298	129313
46	304	129167
47	310	128898
48	315	128587
49	321	128383
50	327	128259
51	333	128058
52	339	127842
53	345	127663
54	351	127544
55	357	127402
56	363	127196
57	369	127049
58	375	126954
59	381	126818
60	387	126643
61	393	126529
62	399	126428
63	405	126399
64	412	126598
65	420	126903
66	426	127019
67	434	127263
68	440	127205
69	446	127250
70	453	127347
71	459	127258
72	465	127091
73	472	127098
74	478	127151
75	484	127117
76	490	127004
77	496	126837
78	502	126689
79	508	126582
80	514	126479
81	520	126387
82	526	126310
83	532	126210
84	538	126121
85	544	126060
86	550	126012
87	556	125977
88	562	125856
89	568	125764
90	574	125704
91	580	125643
92	586	125529
93	590	125032
94	596	125047
95	603	125134
96	609	125157
97	616	125127
98	622	125055
99	628	124988
100	634	124921
101	640	124883
102	646	124819
103	652	124871
104	658	124806
105	664	124734
106	670	124669
107	677	124791
108	683	124785
109	690	124788
110	696	124713
111	702	124660
112	708	124636
113	714	124587
114	720	124546
115	726	124480
116	732	124462
117	738	124411
118	744	124347
119	750	124344
120	756	124275
121	762	124304
122	769	124274
123	775	124235
124	780	124171
125	786	124108
126	788	123347
127	794	123299
128	801	123388
129	808	123511
130	813	123443
131	819	123376
132	825	123362
133	831	123299
134	837	123233
135	843	123235
136	849	123207
137	856	123224
138	861	123152
139	867	123120
140	874	123167
141	881	123244
142	887	123250
143	893	123234
144	902	123513
145	909	123669
146	915	123632
147	921	123650
148	927	123598
149	933	123577
150	939	123520
151	945	123491
152	952	123503
153	958	123465
154	964	123432
155	970	123416
156	975	123346
157	981	123299
158	987	123256
159	993	123230
160	999	123201
161	1006	123267
162	1013	123362
163	1019	123335
164	1025	123326
165	1032	123308
166	1037	123263
167	1044	123268
168	1051	123361
169	1057	123333
170	1063	123301
171	1069	123267
172	1075	123226
173	1081	123212
174	1088	123289
175	1094	123327
176	1101	123346
177	1107	123302
178	1113	123259
179	1119	123230
180	1124	123175
181	1130	123133
182	1136	123091
183	1142	123063
184	1149	123107
185	1155	123075
186	1161	123046
187	1167	123030
188	1173	123003
189	1179	122966
190	1185	122931
191	1191	122927
192	1197	122883
193	1203	122856
194	1209	122807
195	1215	122800
196	1221	122748
197	1227	122724
198	1233	122689
199	1239	122666
200	1245	122659
201	1251	122641
202	1257	122621
203	1263	122621
204	1269	122621
205	1275	122601
206	1281	122567
207	1288	122563
208	1295	122639
209	1302	122719
210	1308	122690
211	1314	122668
212	1320	122636
213	1326	122616
214	1332	122587
215	1338	122627
216	1344	122615
217	1350	122579
218	1356	122560
219	1364	122717
220	1371	122786
221	1378	122782
222	1385	122840
223	1391	122858
224	1398	122955
225	1404	122922
226	1410	122900
227	1417	122900
228	1423	122874
229	1430	122948
230	1437	123033
231	1444	123101
232	1451	123167
233	1458	123236
234	1465	123241
235	1471	123232
236	1477	123191
237	1483	123182
238	1489	123176
239	1496	123228
240	1503	123234
241	1509	123206
242	1515	123193
243	1521	123166
244	1527	123145
245	1533	123124
246	1535	122786
247	1541	122762
248	1547	122726
249	1553	122691
250	1559	122682
251	1565	122671
252	1571	122629
253	1577	122656
254	1584	122710
255	1591	122729
256	1598	122816
257	1605	122880
258	1612	122919
259	1619	122955
260	1625	122917
261	1631	122927
262	1638	122982
263	1645	123027
264	1652	123091
265	1661	123235
266	1669	123392
267	1677	123484
268	1684	123534
269	1696	123995
270	1707	124285
271	1716	124477
272	1722	124458
273	1730	124566
274	1739	124775
275	1747	124911
276	1756	125057
277	1763	125115
278	1769	125085
279	1775	125062
280	1783	125122
281	1790	125162
282	1796	125174
283	1802	125163
284	1809	125143
285	1815	125135
286	1821	125090
287	1827	125059
288	1834	125115
289	1840	125109
290	1846	125073
291	1852	125034
292	1858	125000
293	1864	124983
294	1870	124942
295	1876	124907
296	1882	124875
297	1888	124857
298	1895	124917
299	1903	124975
300	1910	125019
301	1916	124994
302	1922	124981
303	1930	125092
304	1939	125229
305	1945	125202
306	1951	125180
307	1957	125140
308	1963	125105
309	1969	125069
310	1971	124787
311	1978	124850
312	1986	124918
313	1997	125223
314	2005	125358
315	2012	125365
316	2018	125354
317	2025	125380
318	2034	125525
319	2043	125673
320	2051	125785
321	2058	125777
322	2064	125741
323	2070	125756
324	2078	125803
325	2084	125818
326	2091	125849
327	2099	125890
328	2107	125995
329	2114	126026
330	2121	126080
331	2128	126118
332	2135	126147
333	2142	126147
334	2149	126151
335	2155	126151
336	2162	126171
337	2169	126195
338	2176	126250
339	2187	126462
340	2195	126577
341	2202	126615
342	2209	126596
343	2216	126632
344	2222	126631
345	2229	126668
346	2236	126690
347	2243	126720
348	2251	126764
349	2258	126810
350	2265	126841
351	2273	126902
352	2281	126980
353	2289	127060
354	2296	127084
355	2304	127167
356	2312	127224
357	2319	127260
358	2327	127342
359	2340	127683
360	2348	127766
361	2355	127756
362	2361	127752
363	2367	127727
364	2373	127693
365	2380	127680
366	2388	127752
367	2395	127782
368	2401	127754
369	2407	127741
370	2413	127712
371	2419	127678
372	2426	127661
373	2431	127621
374	2438	127623
375	2445	127637
376	2452	127653
377	2459	127651
378	2465	127654
379	2471	127617
380	2477	127588
381	2484	127576
382	2490	127539
383	2495	127501
384	2502	127495
385	2510	127545
386	2516	127551
387	2522	127513
388	2528	127478
389	2534	127442
390	2540	127400
391	2546	127362
392	2552	127329
393	2557	127288
394	2565	127336
395	2571	127301
396	2577	127279
397	2583	127247
398	2589	127201
399	2595	127169
400	2601	127135
401	2607	127106
402	2613	127091
403	2619	127061
404	2625	127027
